Year,Conference,Team,Games,Win,Loss,Off.Rank,Off.TDs,First.Down.Rank,Redzone.Off.Rank,Touchdowns.Allowed,Touchdowns,Total.Points,Points.Per.Game,Time.of.Possession.Rank,Win.Ratio,Scoring.Ratio
2017,Mountain West,Air Force (MWC),12,5,7,49,48,14,38,49,50,377,31.4,7,0.417,0.928
2017,MAC,Akron (MAC),14,7,7,121,38,129,121,49,42,310,22.1,89,0.500,0.948
2017,SEC,Alabama (SEC),14,13,1,29,64,17,57,18,66,519,37.1,70,0.929,0.890
2017,Sun Belt,Appalachian St. (Sun Belt),13,9,4,31,55,20,67,30,55,435,33.5,32,0.692,0.885
2017,Pac-12,Arizona (Pac-12),13,7,6,12,67,128,34,59,71,537,41.3,92,0.538,0.926
2017,Pac-12,Arizona St. (Pac-12),13,7,6,37,48,110,5,54,51,414,31.8,29,0.538,0.862
2017,SEC,Arkansas (SEC),12,4,8,94,42,67,38,56,46,345,28.8,28,0.333,0.933
2017,Sun Belt,Arkansas St. (Sun Belt),12,7,5,10,55,32,122,40,59,454,37.8,87,0.583,0.910
2017,FBS,Army West Point (FBS Independent),13,10,3,76,52,40,48,39,56,399,30.7,4,0.769,0.982
2017,SEC,Auburn (SEC),14,10,4,26,55,32,36,31,58,474,33.9,31,0.714,0.857
2017,MAC,Ball St. (MAC),12,2,10,110,26,46,105,65,27,215,17.9,10,0.167,0.879
2017,Big 12,Baylor (Big 12),12,1,11,59,33,74,101,52,33,292,24.3,68,0.083,0.791
2017,Mountain West,Boise St. (MWC),14,11,3,57,51,58,88,42,57,455,32.5,35,0.786,0.877
2017,ACC,Boston College (ACC),13,7,6,84,40,37,81,37,43,334,25.7,55,0.538,0.901
2017,MAC,Bowling Green (MAC),12,2,10,85,34,121,17,61,36,304,25.3,117,0.167,0.829
2017,MAC,Buffalo (MAC),12,6,6,36,42,68,106,39,43,342,28.5,69,0.500,0.880
2017,FBS,BYU (FBS Independent),13,4,9,118,25,79,117,37,26,222,17.1,108,0.308,0.820
2017,Pac-12,California (Pac-12),12,5,7,89,36,82,87,40,39,333,27.8,79,0.417,0.820
2017,MAC,Central Mich. (MAC),13,8,5,77,46,55,98,44,50,370,28.5,95,0.615,0.946
2017,C-USA,Charlotte (C-USA),12,1,11,123,23,99,126,51,23,170,14.2,118,0.083,0.947
2017,AAC,Cincinnati (AAC),12,4,8,101,31,91,111,46,32,251,20.9,121,0.333,0.892
2017,ACC,Clemson (ACC),14,12,2,38,57,10,20,22,62,466,33.3,49,0.857,0.931
